Pregunta,Opciones,Respuesta,Tema
"En la estadística inferencia se busca hacer inferencias o generalizaciones de la población a partir de una muestra, cierto o falso.",Cierto_Falso,1,Estadística
"En la estadística inferencia se busca hacer predicciones basados en la teoría de la probabilidad,  cierto o falso.",Cierto_Falso,1,Estadística
"El error tipo I o falso positivo, implica rechazar la hipótesis alterna (es decir rechazar que hay diferencias) y aceptar la hipotesis nula (no hay diferencias) cuando en realidad si hay diferencias",Cierto_Falso,2,Estadística
"El error tipo 2 o falso negativo, implica rechazar la hipótesis nula(es decir rechazar que no hay diferencias) y aceptar la hipótesis alterna (si hay diferencia) cuando en realidad no las hay",Cierto_Falso,2,Estadística
"La probabilidad de cometer un error tipo 1 se relaciona con el nivel de alfa, en estudios relacionados con la salud, por lo general se establece en 0.05",Cierto_Falso,1,Estadística
"Es la probabilidad de obtener un resultado igual al observado o más extremo, bajo la suposición de que la hipótesis nula es verdadera",Mediana_Valor p_Varianza_Media,2,Estadística
En las pruebas de hipótesis el obtener un valor <0.05 pero >0.001 es,No significativo_Significativo_Irrelevante_Altamente significativo,2,Estadística
En las pruebas de hipótesis el obtener un valor <0.001 es,No significativo_Significativo_Irrelevante_Altamente significativo,4,Estadística
Es una prueba estadística para probar la normalidad de los datos,Prueba T..Student_Shapiro-Wilk_Prueba de Wilcox_ANOVA,2,Estadística
Las pruebas paramétricas se utiliza en datos con distribución no normal,Cierto_Falso,2,Estadística
La prueba de T. De Student se considera una prueba paramétrica por lo que se utiliza cuando no se cumple el supuesto de normalidad de los datos,Cierto_Falso,2,Estadística
"La prueba T de Student pareada, se utiliza para comparar dos muestras relacionadas (es decir se podría utilizar en alumnos en los cuales se hace una medición pre intervención y posterior a la intervención una segunda medición. Se podría comparar las medias y saber si la intervención tuvo un cambio significativo",Cierto_Falso,1,Estadística
La prueba estadística de ANOVA es una prueba no paramétrica que se utiliza cuando se busca comparar 2 grupos o menos ,Cierto_Falso,2,Estadística
La prueba de X2 (chi cuadrada) se utilizar para la comparación de variables discretas,Cierto_Falso,2,Estadística
"Es similar a la prueba de X2, pero se suele utilizar cuando no se cumplen los supuestos del número de muestra y si los casos son menores a 5 por celda",T.Student_X2_Prueba exacta de Fishers_ANOVA,3,Estadística
Es la prueba equivalente a la prueba T de student pero para medidas no paramétricas,T.Student_X2_Prueba exacta de Fishers_Wilcoxon,4,Estadística
Es le prueba equivalente a ANOVA pero para muestras no paramétricas,Kruskall Wallis_X2_Prueba exacta de Fishers_Wilcoxon,1,Estadística
Como interpretarias un riesgo relativo de 1.3 en cuanto al riesgo de morir en caso de ser del género masculino comparado con el femenino,130% mayor riesgo respecto al femenino_30% de riesgo mayor al género femenino_riesgos similares_70% mayor de riesgo que el femenino,2,Estadística
"Si tuviéramos un riesgo relativo de 0.7 con un intervalo de confianza al 95% 0.4-1.2, como se debería interpretar",Riesgo disminuido por 70%_Riesgo mayor por 70%_No se considera un factor de riesgo ni para aumento o disminución_Es probable que con 95% de probabilidad tengamos una reducción del 70% en el riesgo,3,Estadística
Correlación es lo mismo qué regresión,Cierto_Falso,2,Estadística
"En la sección de resultados debemos describir el total de resultados que tenemos en nuestras tablas y gráficas, el propósito es describir todos los datos que tenemos de nuestra muestra",Cierto_Falso,2,Estadística
En la sección de discusión hacemos una comparación entre los hallazgos de nuestro estudio y la literatura internacional (la evidencia existente),Cierto_Falso,1,Estadística
